Print massiv:
0,000103082487508483
2,01122794999581
3,68063058986185
5,43779148726745
8,42666231178418
8,58159271637641
11,3538536360158
13,3400076475671
17,5859729694827
16,8729871143138
20,1798093516453
24,3733632443246
24,5745403955696
23,159915447332
30,1564305009636
28,6280180100077
33,2940597721844
35,7973980377759
36,1559668143936
35,8811628422275
40,1802610473122
43,1637033816997
46,4989090473106
43,4718704839566
50,7305202638052
49,7827379534923
58,4165181895169
54,9765687431694
66,3080367279589
58,7410867649624
57,7337584107801
62,318450584928
67,510864189293
63,2978964529085
64,6591339452966
71,2632018643537
72,3425341508144
73,5069753494777
74,0154412108972
86,1318351601751
83,9654071839086
79,9868209633983
78,0860241488616
89,365308158989
94,9971128513686
88,5156138776922
95,4401441445684
95,3377571898901
99,9882961047509
91,6317539711291
101,100949704767
103,919492536159
99,1286711573938
112,137193091472
123,91857407905
121,169336761278
113,399317173373
118,833858563418
131,739386529844
117,1803999286
122,732252178313
123,458702134377
127,628914707508
122,233186916989
132,56703769079
125,421411959568
136,28931942632
131,805897189782
130,867302884882
127,611823086403
141,17498148486
138,749064524737
152,69967746331
136,793816475626
145,059584951212
147,092176006852
147,244483590897
157,841423565941
154,023992302597
164,727690829105
159,152894218921
181,373653420832
172,939557678816
178,748232956158
160,441951973578
191,697265557353
168,499067081966
170,309229715151
183,884345770154
189,559490229374
179,573338799837
206,99621712647
211,102359836831
193,494581665415
199,368297190165
207,426023912837
192,048553277663
190,843193201192
203,877676661511
176,52712826147
